item_id,auction_type,bid_value,bid_time,bidder_rate,open_price,closing_price,rank,num_bids,prev_bid_value,prev_bid_value_avg,bid_value_delta
1,2,1.0,0.0376072850576397,1.0,1.0,455.0,1,12,1.0,1.0,0.0
1,2,1.25,0.0616883044502382,0.0727272727272727,1.0,455.0,2,12,1.0,1.0,0.25
1,2,15.0,0.0906969787366758,0.3272727272727272,1.0,455.0,3,12,1.25,1.0,13.75
1,2,51.0,0.1081041674435164,0.4363636363636364,1.0,455.0,4,12,15.0,1.0833333333333333,36.0
1,2,55.0,0.2124249358840007,0.6,1.0,455.0,5,12,51.0,4.5625,4.0
1,2,166.0,0.061891694215366,1.0,1.0,455.0,6,12,55.0,13.85,111.0
1,2,295.0,0.2995617480183724,0.1454545454545454,1.0,455.0,7,12,166.0,20.708333333333332,129.0
1,2,320.0,0.3968978135769191,0.2545454545454545,1.0,455.0,8,12,295.0,41.464285714285715,25.0
1,2,400.0,0.6692846840375272,0.1999999999999999,1.0,455.0,9,12,320.0,73.15625,80.0
1,2,420.0,0.9964908880346282,0.1272727272727272,1.0,455.0,10,12,400.0,100.58333333333333,20.0
1,2,450.0,0.9999948144297038,0.2363636363636363,1.0,455.0,11,12,420.0,130.525,30.0
1,2,455.0,0.9416649402386456,0.2545454545454545,1.0,455.0,12,12,450.0,156.8409090909091,5.0
2,0,10.0,0.0570908487742489,0.1454545454545454,0.01,225.0,1,20,0.01,0.01,9.99
2,0,35.0,0.0820543350501891,1.0,0.01,225.0,2,20,10.0,0.01,25.0
2,0,50.0,0.0916594124972872,0.1636363636363636,0.01,225.0,3,20,35.0,5.005,15.0
2,0,75.0,0.1063991989053955,0.1454545454545454,0.01,225.0,4,20,50.0,15.003333333333332,25.0
2,0,88.0,0.2325367390997801,1.0,0.01,225.0,5,20,75.0,23.752499999999998,13.0
2,0,90.0,0.2664309615235427,0.3272727272727272,0.01,225.0,6,20,88.0,34.001999999999995,2.0
2,0,100.0,0.1990882677043522,0.8727272727272727,0.01,225.0,7,20,90.0,43.001666666666665,10.0
2,0,115.0,0.2898828946328862,0.4727272727272726,0.01,225.0,8,20,100.0,49.715714285714284,15.0
2,0,125.0,0.2980649976433772,0.6909090909090909,0.01,225.0,9,20,115.0,56.00125,10.0
2,0,133.5,0.3374611021508487,0.4727272727272726,0.01,225.0,10,20,125.0,62.556666666666665,8.5
2,0,140.0,0.3522451779239517,0.8181818181818181,0.01,225.0,11,20,133.5,68.801,6.5
2,0,145.0,0.3569155628971131,0.4363636363636364,0.01,225.0,12,20,140.0,74.68272727272728,5.0
2,0,170.0,0.3589714466463878,0.6909090909090909,0.01,225.0,13,20,145.0,80.12583333333333,25.0
2,0,175.0,0.3572598769927179,0.1818181818181818,0.01,225.0,14,20,170.0,85.11615384615385,5.0
2,0,190.0,0.3864179947404236,0.1818181818181818,0.01,225.0,15,20,175.0,91.17928571428571,15.0
2,0,201.0,0.3822390788497852,1.0,0.01,225.0,16,20,190.0,96.76733333333333,11.0
2,0,205.5,0.3925756451638942,0.0727272727272727,0.01,225.0,17,20,201.0,102.594375,4.5
2,0,210.5,0.4128744612234465,0.2727272727272727,0.01,225.0,18,20,205.5,108.38294117647058,5.0
2,0,224.0,0.4282000102008409,0.2545454545454545,0.01,225.0,19,20,210.5,113.77833333333335,13.5
2,0,225.0,0.3969874373930537,0.0909090909090909,0.01,225.0,20,20,224.0,118.86894736842106,1.0
0,2,2.0,0.1463546352320755,0.1272727272727272,1.0,61.0,1,11,1.0,1.0,1.0
0,2,5.0,0.3018437376909497,1.0,1.0,61.0,2,11,2.0,1.0,3.0
0,2,7.51,0.3538784554098245,0.9818181818181818,1.0,61.0,3,11,5.0,1.5,2.51
0,2,30.0,0.417939593020739,0.3090909090909091,1.0,61.0,4,11,7.51,2.6666666666666665,22.490000000000002
